image_name,embedding_similarity,dorsal_score
nhmuk_2446092177_math.png,0.999747,0.932484
nhmuk_2446313018_math.png,0.999701,0.964394
nhmuk_2446313079_math.png,0.999634,0.983333
nhmuk_2446312268_math.png,0.999628,0.961295
nhmuk_2446092433_math.png,0.999556,0.930449
nhmuk_2446115897_math.png,0.999550,0.946552
nhmuk_2446312458_math.png,0.999545,0.965830
nhmuk_2446092219_math.png,0.999541,0.932459
nhmuk_2446092412_math.png,0.999528,0.992729
nhmuk_2446312833_math.png,0.999528,0.979651
nhmuk_2446315080_math.png,0.999525,0.939920
nhmuk_2446105895_math.png,0.999487,0.993778
nhmuk_2446092110_math.png,0.999482,0.922636
nhmuk_2446092435_math.png,0.999435,0.651009
nhmuk_2446090895_math.png,0.999420,0.933966
nhmuk_2446312225_math.png,0.999417,0.954504
nhmuk_2446090806_math.png,0.999413,0.941429
nhmuk_2446093019_math.png,0.999393,0.956897
nhmuk_2446115948_math.png,0.999387,0.979699
nhmuk_2446092409_math.png,0.999386,0.954257
nhmuk_2446115924_math.png,0.999366,0.985506
nhmuk_2446093267_math.png,0.999344,0.988806
nhmuk_2446115982_math.png,0.999343,0.974144
nhmuk_2446314961_math.png,0.999332,0.948536
nhmuk_2446092222_math.png,0.999323,0.915532
nhmuk_2446115709_math.png,0.999307,0.972402
nhmuk_2446092521_math.png,0.999301,0.972840
nhmuk_2446115957_math.png,0.999298,0.965928
nhmuk_2446313271_math.png,0.999289,0.964089
nhmuk_2446091543_math.png,0.999267,0.943970
nhmuk_2446093290_math.png,0.999249,0.989869
nhmuk_2446091576_math.png,0.999243,0.943351
nhmuk_2446314162_math.png,0.999228,0.912733
nhmuk_2446091579_math.png,0.999202,0.999951
nhmuk_2446115952_math.png,0.999191,0.951748
nhmuk_2446115892_math.png,0.999191,0.935002
nhmuk_2446312565_math.png,0.999171,0.915506
nhmuk_2446312254_math.png,0.999168,0.964918
nhmuk_2446312677_math.png,0.999162,0.934559
nhmuk_2446312741_math.png,0.999161,0.985600
nhmuk_2446091577_math.png,0.999147,0.999934
nhmuk_2446312350_math.png,0.999133,0.982014
nhmuk_2446312733_math.png,0.999124,0.939314
nhmuk_2446090900_math.png,0.999118,0.973790
nhmuk_2446105850_math.png,0.999081,0.999939
nhmuk_2446090767_math.png,0.999080,0.956139
nhmuk_2446115980_math.png,0.999051,0.966107
nhmuk_2446092469_math.png,0.999033,0.926815
nhmuk_2446314411_math.png,0.999031,1.000000
nhmuk_2446091911_math.png,0.999019,0.964706
nhmuk_2446090780_math.png,0.999017,0.944794
nhmuk_2446312213_math.png,0.999012,0.970084
nhmuk_2446105622_math.png,0.999012,0.955963
nhmuk_2446313793_math.png,0.999004,0.931334
nhmuk_2446090901_math.png,0.998982,0.950193
nhmuk_2446090712_math.png,0.998981,0.939869
nhmuk_2446105818_math.png,0.998975,0.939162
nhmuk_2446312416_math.png,0.998916,0.956071
nhmuk_2446092431_math.png,0.998909,0.922317
nhmuk_2446092434_math.png,0.998892,0.960624
nhmuk_2446115935_math.png,0.998891,0.941362
nhmuk_2446092111_math.png,0.998878,0.998380
nhmuk_2446105904_math.png,0.998837,0.978387
nhmuk_2446091568_math.png,0.998809,0.977039
nhmuk_2446312297_math.png,0.998804,0.997191
nhmuk_2446106240_math.png,0.998802,0.985688
nhmuk_2446090953_math.png,0.998791,0.970211
nhmuk_2446092656_math.png,0.998788,0.952140
nhmuk_2446091912_math.png,0.998779,0.970667
nhmuk_2446105836_math.png,0.998778,0.973519
nhmuk_2446312554_math.png,0.998718,0.969514
nhmuk_2446115824_math.png,0.998694,0.966595
nhmuk_2446313882_math.png,0.998671,0.902985
nhmuk_2446093122_math.png,0.998662,0.993823
nhmuk_2446091922_math.png,0.998661,0.967464
nhmuk_2446115657_math.png,0.998607,0.975087
nhmuk_2446092424_math.png,0.998577,0.912693
nhmuk_2446313550_math.png,0.998551,0.999879
nhmuk_2446090955_math.png,0.998551,0.975252
nhmuk_2446105593_math.png,0.998541,0.988104
