source_image,status,reconstruction_path,dorsal_score,view_ok,equation,a,b,c,d,m1,q1,m2,q2,kx,h1,k1,r1,h2,k2,r2,detail_mean
nhmuk_1265647193.jpg,saved,museum_butterfly_dorsal/mathequations_shape_fill/reconstructions/nhmuk_1265647193_math.png,0.703989,1,"L1:y=m1*x+q1; L2:y=m2*x+q2; L3:x=kx; C1:(x-h1)^2+(y-k1)^2=r1^2; C2:(x-h2)^2+(y-k2)^2=r2^2; E_i=((x-cx_i)^2/a_i^2)+((y-cy_i)^2/b_i^2); Q=sin(a*x+b*y+2*pi*D)+cos((a+b)*r-c*theta)+0.55*sin((c+phi)*3*x*y+d*D)+0.95*exp(-18*min(|L1|,|L2|,|L3|))+1.10*exp(-30*min(|C1|,|C2|))+sum(exp(-40*|E_i-1|))",7.081316,7.041455,5.407377,1.889174,-0.406989,-0.030508,0.413367,-0.029073,0.002037,-0.359601,-0.000478,0.429301,0.359601,0.000478,0.428663,0.003323
nhmuk_1291180947.jpg,saved,museum_butterfly_dorsal/mathequations_shape_fill/reconstructions/nhmuk_1291180947_math.png,0.725081,1,"L1:y=m1*x+q1; L2:y=m2*x+q2; L3:x=kx; C1:(x-h1)^2+(y-k1)^2=r1^2; C2:(x-h2)^2+(y-k2)^2=r2^2; E_i=((x-cx_i)^2/a_i^2)+((y-cy_i)^2/b_i^2); Q=sin(a*x+b*y+2*pi*D)+cos((a+b)*r-c*theta)+0.55*sin((c+phi)*3*x*y+d*D)+0.95*exp(-18*min(|L1|,|L2|,|L3|))+1.10*exp(-30*min(|C1|,|C2|))+sum(exp(-40*|E_i-1|))",6.928296,6.877035,5.253677,1.942587,-0.431473,-0.036427,0.439674,-0.034581,0.001268,-0.359487,-0.000615,0.426853,0.359487,0.000615,0.426033,0.002977
nhmuk_1291182689.jpg,saved,museum_butterfly_dorsal/mathequations_shape_fill/reconstructions/nhmuk_1291182689_math.png,0.671285,1,"L1:y=m1*x+q1; L2:y=m2*x+q2; L3:x=kx; C1:(x-h1)^2+(y-k1)^2=r1^2; C2:(x-h2)^2+(y-k2)^2=r2^2; E_i=((x-cx_i)^2/a_i^2)+((y-cy_i)^2/b_i^2); Q=sin(a*x+b*y+2*pi*D)+cos((a+b)*r-c*theta)+0.55*sin((c+phi)*3*x*y+d*D)+0.95*exp(-18*min(|L1|,|L2|,|L3|))+1.10*exp(-30*min(|C1|,|C2|))+sum(exp(-40*|E_i-1|))",6.760659,6.550284,4.782170,2.351597,-0.458295,-0.048190,0.491955,-0.040616,-0.001089,-0.357896,-0.002524,0.424171,0.357896,0.002524,0.420805,0.058806
nhmuk_1291182723.jpg,saved,museum_butterfly_dorsal/mathequations_shape_fill/reconstructions/nhmuk_1291182723_math.png,0.671040,1,"L1:y=m1*x+q1; L2:y=m2*x+q2; L3:x=kx; C1:(x-h1)^2+(y-k1)^2=r1^2; C2:(x-h2)^2+(y-k2)^2=r2^2; E_i=((x-cx_i)^2/a_i^2)+((y-cy_i)^2/b_i^2); Q=sin(a*x+b*y+2*pi*D)+cos((a+b)*r-c*theta)+0.55*sin((c+phi)*3*x*y+d*D)+0.95*exp(-18*min(|L1|,|L2|,|L3|))+1.10*exp(-30*min(|C1|,|C2|))+sum(exp(-40*|E_i-1|))",6.578796,6.398794,4.743550,2.265704,-0.487393,-0.053643,0.516193,-0.047163,-0.001282,-0.358200,-0.002160,0.421261,0.358200,0.002160,0.418381,0.047431
nhmuk_1291184060.jpg,saved,museum_butterfly_dorsal/mathequations_shape_fill/reconstructions/nhmuk_1291184060_math.png,0.661444,1,"L1:y=m1*x+q1; L2:y=m2*x+q2; L3:x=kx; C1:(x-h1)^2+(y-k1)^2=r1^2; C2:(x-h2)^2+(y-k2)^2=r2^2; E_i=((x-cx_i)^2/a_i^2)+((y-cy_i)^2/b_i^2); Q=sin(a*x+b*y+2*pi*D)+cos((a+b)*r-c*theta)+0.55*sin((c+phi)*3*x*y+d*D)+0.95*exp(-18*min(|L1|,|L2|,|L3|))+1.10*exp(-30*min(|C1|,|C2|))+sum(exp(-40*|E_i-1|))",6.342935,6.318744,4.753874,2.009120,-0.525130,-0.056525,0.529001,-0.055654,-0.001231,-0.359758,-0.000290,0.417487,0.359758,0.000290,0.417100,0.017699
nhmuk_1291188835.jpg,saved,museum_butterfly_dorsal/mathequations_shape_fill/reconstructions/nhmuk_1291188835_math.png,0.664745,1,"L1:y=m1*x+q1; L2:y=m2*x+q2; L3:x=kx; C1:(x-h1)^2+(y-k1)^2=r1^2; C2:(x-h2)^2+(y-k2)^2=r2^2; E_i=((x-cx_i)^2/a_i^2)+((y-cy_i)^2/b_i^2); Q=sin(a*x+b*y+2*pi*D)+cos((a+b)*r-c*theta)+0.55*sin((c+phi)*3*x*y+d*D)+0.95*exp(-18*min(|L1|,|L2|,|L3|))+1.10*exp(-30*min(|C1|,|C2|))+sum(exp(-40*|E_i-1|))",6.968162,6.861823,5.199086,2.016905,-0.425094,-0.036974,0.442108,-0.033146,0.000995,-0.358937,-0.001276,0.427491,0.358937,0.001276,0.425789,0.044105
nhmuk_1291194366.jpg,saved,museum_butterfly_dorsal/mathequations_shape_fill/reconstructions/nhmuk_1291194366_math.png,0.660932,1,"L1:y=m1*x+q1; L2:y=m2*x+q2; L3:x=kx; C1:(x-h1)^2+(y-k1)^2=r1^2; C2:(x-h2)^2+(y-k2)^2=r2^2; E_i=((x-cx_i)^2/a_i^2)+((y-cy_i)^2/b_i^2); Q=sin(a*x+b*y+2*pi*D)+cos((a+b)*r-c*theta)+0.55*sin((c+phi)*3*x*y+d*D)+0.95*exp(-18*min(|L1|,|L2|,|L3|))+1.10*exp(-30*min(|C1|,|C2|))+sum(exp(-40*|E_i-1|))",6.311047,6.234327,4.636636,2.148198,-0.530233,-0.059564,0.542508,-0.056802,-0.001817,-0.359233,-0.000921,0.416977,0.359233,0.000921,0.415749,0.010184
nhmuk_1291195866.jpg,saved,museum_butterfly_dorsal/mathequations_shape_fill/reconstructions/nhmuk_1291195866_math.png,0.712064,1,"L1:y=m1*x+q1; L2:y=m2*x+q2; L3:x=kx; C1:(x-h1)^2+(y-k1)^2=r1^2; C2:(x-h2)^2+(y-k2)^2=r2^2; E_i=((x-cx_i)^2/a_i^2)+((y-cy_i)^2/b_i^2); Q=sin(a*x+b*y+2*pi*D)+cos((a+b)*r-c*theta)+0.55*sin((c+phi)*3*x*y+d*D)+0.95*exp(-18*min(|L1|,|L2|,|L3|))+1.10*exp(-30*min(|C1|,|C2|))+sum(exp(-40*|E_i-1|))",6.363371,6.172474,4.542580,2.393703,-0.521861,-0.061791,0.552404,-0.054919,-0.002287,-0.358091,-0.002291,0.417814,0.358091,0.002291,0.414760,0.026959
nhmuk_1291203039.jpg,saved,museum_butterfly_dorsal/mathequations_shape_fill/reconstructions/nhmuk_1291203039_math.png,0.687239,1,"L1:y=m1*x+q1; L2:y=m2*x+q2; L3:x=kx; C1:(x-h1)^2+(y-k1)^2=r1^2; C2:(x-h2)^2+(y-k2)^2=r2^2; E_i=((x-cx_i)^2/a_i^2)+((y-cy_i)^2/b_i^2); Q=sin(a*x+b*y+2*pi*D)+cos((a+b)*r-c*theta)+0.55*sin((c+phi)*3*x*y+d*D)+0.95*exp(-18*min(|L1|,|L2|,|L3|))+1.10*exp(-30*min(|C1|,|C2|))+sum(exp(-40*|E_i-1|))",6.338759,6.291984,4.733971,1.996075,-0.525799,-0.057489,0.533283,-0.055805,-0.001330,-0.359532,-0.000561,0.417420,0.359532,0.000561,0.416672,0.013247
nhmuk_1291203358.jpg,saved,museum_butterfly_dorsal/mathequations_shape_fill/reconstructions/nhmuk_1291203358_math.png,0.679834,1,"L1:y=m1*x+q1; L2:y=m2*x+q2; L3:x=kx; C1:(x-h1)^2+(y-k1)^2=r1^2; C2:(x-h2)^2+(y-k2)^2=r2^2; E_i=((x-cx_i)^2/a_i^2)+((y-cy_i)^2/b_i^2); Q=sin(a*x+b*y+2*pi*D)+cos((a+b)*r-c*theta)+0.55*sin((c+phi)*3*x*y+d*D)+0.95*exp(-18*min(|L1|,|L2|,|L3|))+1.10*exp(-30*min(|C1|,|C2|))+sum(exp(-40*|E_i-1|))",6.343041,6.222078,4.483733,2.352815,-0.525113,-0.060005,0.544468,-0.055651,-0.002581,-0.358790,-0.001452,0.417489,0.358790,0.001452,0.415553,0.042005
