status,occurrence_key,institutionCode,family,species,license,width,height,dorsal_score,raw_path,skeleton_path,url
accepted,2446314989,NHMUK,Papilionidae,Troides helena,http://creativecommons.org/licenses/by/4.0/,1440,960,0.7929,museum_butterfly_dorsal/raw_images/nhmuk_2446314989.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446314989_skeleton.png,https://data.nhm.ac.uk/media/04822cc8-bf82-4548-ba50-c53150fbc49c
reject_not_dorsal,1291305507,NHMUK,Papilionidae,Papilio machaon,http://creativecommons.org/licenses/by/4.0/,1440,2160,0.2722,,,https://data.nhm.ac.uk/media/ad90e9f6-1753-457a-af8e-827c543df37e
accepted,2446312741,NHMUK,Papilionidae,Trogonoptera brookiana,http://creativecommons.org/licenses/by/4.0/,1440,960,0.8517,museum_butterfly_dorsal/raw_images/nhmuk_2446312741.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446312741_skeleton.png,https://data.nhm.ac.uk/media/aac6cd03-b1d4-42ab-91fe-90787c4d9837
reject_not_dorsal,1291305507,NHMUK,Papilionidae,Papilio machaon,http://creativecommons.org/licenses/by/4.0/,1219,800,0.5767,,,https://data.nhm.ac.uk/media/d609d117-4004-4c57-be82-43f3ff251a80
accepted,2446314960,NHMUK,Papilionidae,Troides helena,http://creativecommons.org/licenses/by/4.0/,1440,960,0.8172,museum_butterfly_dorsal/raw_images/nhmuk_2446314960.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446314960_skeleton.png,https://data.nhm.ac.uk/media/6a21b579-6e4e-46b0-a050-6f48f422630b
accepted,2446312268,NHMUK,Papilionidae,Trogonoptera brookiana,http://creativecommons.org/licenses/by/4.0/,1440,960,0.8145,museum_butterfly_dorsal/raw_images/nhmuk_2446312268.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446312268_skeleton.png,https://data.nhm.ac.uk/media/41166617-7382-41a3-ba7b-b28c0d7f0a0a
accepted,2446312741,NHMUK,Papilionidae,Trogonoptera brookiana,http://creativecommons.org/licenses/by/4.0/,1440,960,0.8190,museum_butterfly_dorsal/raw_images/nhmuk_2446312741.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446312741_skeleton.png,https://data.nhm.ac.uk/media/bab82ecf-1d88-4c56-87d3-47da72f9e0aa
accepted,2446313079,NHMUK,Papilionidae,Trogonoptera brookiana,http://creativecommons.org/licenses/by/4.0/,1440,960,0.8214,museum_butterfly_dorsal/raw_images/nhmuk_2446313079.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446313079_skeleton.png,https://data.nhm.ac.uk/media/1093ea10-659a-4362-a48c-9bb206c6b26f
accepted,2446312458,NHMUK,Papilionidae,Trogonoptera brookiana,http://creativecommons.org/licenses/by/4.0/,1440,960,0.8373,museum_butterfly_dorsal/raw_images/nhmuk_2446312458.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446312458_skeleton.png,https://data.nhm.ac.uk/media/95645ac9-ef1d-44f3-b978-f35c749bf59e
accepted,2446314939,NHMUK,Papilionidae,Troides helena,http://creativecommons.org/licenses/by/4.0/,1440,960,0.7792,museum_butterfly_dorsal/raw_images/nhmuk_2446314939.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446314939_skeleton.png,https://data.nhm.ac.uk/media/18d569dc-bba9-4ec7-9887-137d804282c1
